Session,Measurement_Index,Drift_ms,Timestamp
5,12,2.928,2025-08-11T01:27:18.736912
5,13,2.934,2025-08-11T01:27:48.736917
5,14,2.942,2025-08-11T01:28:18.736920
5,15,2.944,2025-08-11T01:28:48.736924
5,16,2.951,2025-08-11T01:29:18.736928
6,1,2.96,2025-08-11T01:21:48.736932
6,2,2.967,2025-08-11T01:22:18.736935
6,3,2.977,2025-08-11T01:22:48.736938
6,4,2.984,2025-08-11T01:23:18.736941
6,5,2.986,2025-08-11T01:23:48.736944
6,6,2.993,2025-08-11T01:24:18.736947
6,7,3.002,2025-08-11T01:24:48.736949
6,8,3.009,2025-08-11T01:25:18.736952
6,9,3.019,2025-08-11T01:25:48.736955
6,10,3.021,2025-08-11T01:26:18.736957
6,11,3.028,2025-08-11T01:26:48.736960
6,12,3.03,2025-08-11T01:27:18.736963
6,13,3.04,2025-08-11T01:27:48.736966
6,14,3.047,2025-08-11T01:28:18.736969
6,15,3.056,2025-08-11T01:28:48.736972
6,16,3.063,2025-08-11T01:29:18.736975
7,1,3.066,2025-08-11T01:21:48.736978
7,2,3.072,2025-08-11T01:22:18.736980
7,3,3.082,2025-08-11T01:22:48.736983
7,4,3.089,2025-08-11T01:23:18.736986
7,5,3.098,2025-08-11T01:23:48.736989
7,6,3.105,2025-08-11T01:24:18.736991
7,7,3.108,2025-08-11T01:24:48.736994
7,8,3.115,2025-08-11T01:25:18.736997
7,9,3.122,2025-08-11T01:25:48.737000
7,10,3.124,2025-08-11T01:26:18.737004
7,11,3.131,2025-08-11T01:26:48.737007
7,12,3.14,2025-08-11T01:27:18.737010
7,13,3.147,2025-08-11T01:27:48.737013
7,14,3.157,2025-08-11T01:28:18.737016
7,15,3.164,2025-08-11T01:28:48.737019
7,16,3.166,2025-08-11T01:29:18.737021
8,1,3.173,2025-08-11T01:21:48.737024
8,2,3.183,2025-08-11T01:22:18.737027
8,3,3.189,2025-08-11T01:22:48.737030
8,4,3.199,2025-08-11T01:23:18.737033
8,5,3.206,2025-08-11T01:23:48.737035
8,6,3.208,2025-08-11T01:24:18.737038
8,7,3.215,2025-08-11T01:24:48.737041
8,8,3.225,2025-08-11T01:25:18.737043
8,9,3.227,2025-08-11T01:25:48.737046
8,10,3.236,2025-08-11T01:26:18.737049
8,11,3.243,2025-08-11T01:26:48.737052
8,12,3.246,2025-08-11T01:27:18.737055
8,13,3.253,2025-08-11T01:27:48.737057
8,14,3.262,2025-08-11T01:28:18.737060
8,15,3.269,2025-08-11T01:28:48.737063
8,16,3.278,2025-08-11T01:29:18.737066
9,1,3.285,2025-08-11T01:21:48.737069
9,2,3.288,2025-08-11T01:22:18.737072
9,3,3.295,2025-08-11T01:22:48.737074
9,4,3.302,2025-08-11T01:23:18.737077
9,5,3.304,2025-08-11T01:23:48.737080
9,6,3.311,2025-08-11T01:24:18.737083
9,7,3.321,2025-08-11T01:24:48.737085
9,8,3.327,2025-08-11T01:25:18.737088
9,9,3.337,2025-08-11T01:25:48.737091
9,10,3.344,2025-08-11T01:26:18.737094
9,11,3.346,2025-08-11T01:26:48.737096
9,12,3.353,2025-08-11T01:27:18.737099
9,13,3.363,2025-08-11T01:27:48.737102
9,14,3.37,2025-08-11T01:28:18.737105
9,15,3.379,2025-08-11T01:28:48.737108
9,16,3.386,2025-08-11T01:29:18.737110
10,1,3.388,2025-08-11T01:21:48.737114
10,2,3.395,2025-08-11T01:22:18.737116
10,3,3.402,2025-08-11T01:22:48.737119
10,4,3.405,2025-08-11T01:23:18.737122
10,5,3.412,2025-08-11T01:23:48.737125
10,6,3.421,2025-08-11T01:24:18.737127
10,7,3.423,2025-08-11T01:24:48.737130
10,8,3.433,2025-08-11T01:25:18.737133
10,9,3.442,2025-08-11T01:25:48.737136
10,10,3.449,2025-08-11T01:26:18.737138
10,11,3.458,2025-08-11T01:26:48.737141
10,12,3.466,2025-08-11T01:27:18.737144
10,13,3.468,2025-08-11T01:27:48.737147
10,14,3.475,2025-08-11T01:28:18.737150
10,15,3.482,2025-08-11T01:28:48.737153
10,16,3.484,2025-08-11T01:29:18.737155
11,1,3.491,2025-08-11T01:21:48.737159
11,2,3.501,2025-08-11T01:22:18.737161
11,3,3.508,2025-08-11T01:22:48.737164
11,4,3.517,2025-08-11T01:23:18.737169
11,5,3.524,2025-08-11T01:23:48.737172
11,6,3.527,2025-08-11T01:24:18.737174
11,7,3.533,2025-08-11T01:24:48.737177
11,8,3.543,2025-08-11T01:25:18.737180
11,9,3.55,2025-08-11T01:25:48.737183
11,10,3.559,2025-08-11T01:26:18.737185
11,11,3.566,2025-08-11T01:26:48.737188
11,12,3.569,2025-08-11T01:27:18.737191
11,13,3.575,2025-08-11T01:27:48.737194
11,14,3.582,2025-08-11T01:28:18.737197
11,15,3.585,2025-08-11T01:28:48.737200
11,16,3.592,2025-08-11T01:29:18.737202
12,1,3.601,2025-08-11T01:21:48.737205
12,2,3.608,2025-08-11T01:22:18.737208
12,3,3.618,2025-08-11T01:22:48.737211
12,4,3.627,2025-08-11T01:23:18.737214
12,5,3.629,2025-08-11T01:23:48.737216
12,6,3.639,2025-08-11T01:24:18.737219
12,7,3.646,2025-08-11T01:24:48.737222
12,8,3.648,2025-08-11T01:25:18.737224
12,9,3.655,2025-08-11T01:25:48.737227
12,10,3.662,2025-08-11T01:26:18.737230
12,11,3.664,2025-08-11T01:26:48.737233
12,12,3.671,2025-08-11T01:27:18.737235
12,13,3.681,2025-08-11T01:27:48.737238
12,14,3.688,2025-08-11T01:28:18.737241
12,15,3.697,2025-08-11T01:28:48.737244
12,16,3.704,2025-08-11T01:29:18.737246
13,1,3.707,2025-08-11T01:21:48.737249
13,2,3.713,2025-08-11T01:22:18.737252
13,3,3.723,2025-08-11T01:22:48.737255
13,4,3.73,2025-08-11T01:23:18.737258
13,5,3.739,2025-08-11T01:23:48.737260
13,6,3.746,2025-08-11T01:24:18.737263
13,7,3.749,2025-08-11T01:24:48.737266
13,8,3.755,2025-08-11T01:25:18.737269
13,9,3.763,2025-08-11T01:25:48.737271
13,10,3.765,2025-08-11T01:26:18.737274
13,11,3.772,2025-08-11T01:26:48.737277
13,12,3.781,2025-08-11T01:27:18.737280
13,13,3.826,2025-08-11T01:27:48.737282
13,14,3.835,2025-08-11T01:28:18.737285
13,15,3.842,2025-08-11T01:28:48.737288
13,16,3.845,2025-08-11T01:29:18.737291
14,1,3.851,2025-08-11T01:21:48.737294
14,2,3.861,2025-08-11T01:22:18.737296
14,3,3.868,2025-08-11T01:22:48.737299
14,4,3.877,2025-08-11T01:23:18.737333
14,5,3.884,2025-08-11T01:23:48.737336
14,6,3.887,2025-08-11T01:24:18.737339
14,7,3.893,2025-08-11T01:24:48.737342
14,8,3.903,2025-08-11T01:25:18.737345
14,9,3.91,2025-08-11T01:25:48.737348
14,10,3.919,2025-08-11T01:26:18.737351
14,11,3.926,2025-08-11T01:26:48.737354
14,12,3.929,2025-08-11T01:27:18.737357
14,13,3.936,2025-08-11T01:27:48.737360
14,14,3.945,2025-08-11T01:28:18.737362
14,15,4.022,2025-08-11T01:28:48.737365
14,16,4.032,2025-08-11T01:29:18.737368
15,1,4.041,2025-08-11T01:21:48.737371
15,2,4.048,2025-08-11T01:22:18.737374
15,3,4.057,2025-08-11T01:22:48.737377
15,4,4.064,2025-08-11T01:23:18.737380
15,5,4.067,2025-08-11T01:23:48.737382
15,6,4.074,2025-08-11T01:24:18.737385
15,7,4.083,2025-08-11T01:24:48.737388
15,8,4.09,2025-08-11T01:25:18.737391
15,9,4.099,2025-08-11T01:25:48.737393
15,10,4.109,2025-08-11T01:26:18.737396
15,11,4.228,2025-08-11T01:26:48.737399
15,12,4.237,2025-08-11T01:27:18.737402
15,13,4.244,2025-08-11T01:27:48.737404
15,14,4.247,2025-08-11T01:28:18.737407
15,15,4.254,2025-08-11T01:28:48.737410
15,16,4.263,2025-08-11T01:29:18.737413
