Session,Measurement_Index,Drift_ms,Timestamp
5,6,2.913,2025-08-11T01:31:38.268526
5,7,2.92,2025-08-11T01:32:08.268529
5,8,2.927,2025-08-11T01:32:38.268532
5,9,2.93,2025-08-11T01:33:08.268534
5,10,2.936,2025-08-11T01:33:38.268537
5,11,2.946,2025-08-11T01:34:08.268540
5,12,2.948,2025-08-11T01:34:38.268543
5,13,2.957,2025-08-11T01:35:08.268546
5,14,2.967,2025-08-11T01:35:38.268549
5,15,2.974,2025-08-11T01:36:08.268552
5,16,2.983,2025-08-11T01:36:38.268555
6,1,2.99,2025-08-11T01:29:08.268558
6,2,2.993,2025-08-11T01:29:38.268561
6,3,3.0,2025-08-11T01:30:08.268564
6,4,3.006,2025-08-11T01:30:38.268567
6,5,3.009,2025-08-11T01:31:08.268570
6,6,3.016,2025-08-11T01:31:38.268573
6,7,3.025,2025-08-11T01:32:08.268576
6,8,3.032,2025-08-11T01:32:38.268578
6,9,3.042,2025-08-11T01:33:08.268581
6,10,3.049,2025-08-11T01:33:38.268584
6,11,3.051,2025-08-11T01:34:08.268587
6,12,3.058,2025-08-11T01:34:38.268590
6,13,3.067,2025-08-11T01:35:08.268592
6,14,3.074,2025-08-11T01:35:38.268595
6,15,3.084,2025-08-11T01:36:08.268598
6,16,3.091,2025-08-11T01:36:38.268601
7,1,3.093,2025-08-11T01:29:08.268604
7,2,3.1,2025-08-11T01:29:38.268607
7,3,3.107,2025-08-11T01:30:08.268610
7,4,3.11,2025-08-11T01:30:38.268613
7,5,3.116,2025-08-11T01:31:08.268615
7,6,3.126,2025-08-11T01:31:38.268618
7,7,3.133,2025-08-11T01:32:08.268621
7,8,3.142,2025-08-11T01:32:38.268624
7,9,3.152,2025-08-11T01:33:08.268626
7,10,3.154,2025-08-11T01:33:38.268629
7,11,3.163,2025-08-11T01:34:08.268632
7,12,3.17,2025-08-11T01:34:38.268635
7,13,3.173,2025-08-11T01:35:08.268638
7,14,3.18,2025-08-11T01:35:38.268641
7,15,3.187,2025-08-11T01:36:08.268645
7,16,3.189,2025-08-11T01:36:38.268648
8,1,3.196,2025-08-11T01:29:08.268651
8,2,3.205,2025-08-11T01:29:38.268654
8,3,3.212,2025-08-11T01:30:08.268657
8,4,3.222,2025-08-11T01:30:38.268660
8,5,3.229,2025-08-11T01:31:08.268662
8,6,3.231,2025-08-11T01:31:38.268665
8,7,3.238,2025-08-11T01:32:08.268668
8,8,3.248,2025-08-11T01:32:38.268671
8,9,3.254,2025-08-11T01:33:08.268673
8,10,3.264,2025-08-11T01:33:38.268676
8,11,3.271,2025-08-11T01:34:08.268679
8,12,3.273,2025-08-11T01:34:38.268682
8,13,3.28,2025-08-11T01:35:08.268685
8,14,3.287,2025-08-11T01:35:38.268688
8,15,3.29,2025-08-11T01:36:08.268690
8,16,3.297,2025-08-11T01:36:38.268693
9,1,3.306,2025-08-11T01:29:08.268697
9,2,3.313,2025-08-11T01:29:38.268699
9,3,3.322,2025-08-11T01:30:08.268702
9,4,3.329,2025-08-11T01:30:38.268705
9,5,3.332,2025-08-11T01:31:08.268708
9,6,3.339,2025-08-11T01:31:38.268710
9,7,3.348,2025-08-11T01:32:08.268713
9,8,3.35,2025-08-11T01:32:38.268716
9,9,3.36,2025-08-11T01:33:08.268719
9,10,3.367,2025-08-11T01:33:38.268721
9,11,3.369,2025-08-11T01:34:08.268724
9,12,3.376,2025-08-11T01:34:38.268727
9,13,3.386,2025-08-11T01:35:08.268730
9,14,3.392,2025-08-11T01:35:38.268732
9,15,3.402,2025-08-11T01:36:08.268735
9,16,3.409,2025-08-11T01:36:38.268738
10,1,3.411,2025-08-11T01:29:08.268741
10,2,3.418,2025-08-11T01:29:38.268744
10,3,3.428,2025-08-11T01:30:08.268747
10,4,3.435,2025-08-11T01:30:38.268749
10,5,3.444,2025-08-11T01:31:08.268752
10,6,3.451,2025-08-11T01:31:38.268755
10,7,3.454,2025-08-11T01:32:08.268758
10,8,3.46,2025-08-11T01:32:38.268761
10,9,3.467,2025-08-11T01:33:08.268763
10,10,3.47,2025-08-11T01:33:38.268766
10,11,3.477,2025-08-11T01:34:08.268769
10,12,3.486,2025-08-11T01:34:38.268772
10,13,3.493,2025-08-11T01:35:08.268775
10,14,3.502,2025-08-11T01:35:38.268778
10,15,3.509,2025-08-11T01:36:08.268780
10,16,3.512,2025-08-11T01:36:38.268783
11,1,3.519,2025-08-11T01:29:08.268786
11,2,3.528,2025-08-11T01:29:38.268789
11,3,3.535,2025-08-11T01:30:08.268792
11,4,3.544,2025-08-11T01:30:38.268795
11,5,3.547,2025-08-11T01:31:08.268797
11,6,3.554,2025-08-11T01:31:38.268800
11,7,3.556,2025-08-11T01:32:08.268803
11,8,3.566,2025-08-11T01:32:38.268807
11,9,3.573,2025-08-11T01:33:08.268810
11,10,3.582,2025-08-11T01:33:38.268813
11,11,3.589,2025-08-11T01:34:08.268816
11,12,3.592,2025-08-11T01:34:38.268819
11,13,3.598,2025-08-11T01:35:08.268822
11,14,3.608,2025-08-11T01:35:38.268824
11,15,3.615,2025-08-11T01:36:08.268829
11,16,3.624,2025-08-11T01:36:38.268832
12,1,3.631,2025-08-11T01:29:08.268835
12,2,3.634,2025-08-11T01:29:38.268838
12,3,3.64,2025-08-11T01:30:08.268840
12,4,3.647,2025-08-11T01:30:38.268843
12,5,3.65,2025-08-11T01:31:08.268846
12,6,3.657,2025-08-11T01:31:38.268849
12,7,3.666,2025-08-11T01:32:08.268852
12,8,3.673,2025-08-11T01:32:38.268854
12,9,3.683,2025-08-11T01:33:08.268857
12,10,3.689,2025-08-11T01:33:38.268860
12,11,3.692,2025-08-11T01:34:08.268863
12,12,3.699,2025-08-11T01:34:38.268865
12,13,3.708,2025-08-11T01:35:08.268868
12,14,3.715,2025-08-11T01:35:38.268871
12,15,3.725,2025-08-11T01:36:08.268874
12,16,3.734,2025-08-11T01:36:38.268877
13,1,3.753,2025-08-11T01:29:08.268880
13,2,3.762,2025-08-11T01:29:38.268883
13,3,3.769,2025-08-11T01:30:08.268886
13,4,3.772,2025-08-11T01:30:38.268888
13,5,3.778,2025-08-11T01:31:08.268891
13,6,3.788,2025-08-11T01:31:38.268894
13,7,3.795,2025-08-11T01:32:08.268897
13,8,3.804,2025-08-11T01:32:38.268899
13,9,3.811,2025-08-11T01:33:08.268902
13,10,3.814,2025-08-11T01:33:38.268905
13,11,3.821,2025-08-11T01:34:08.268908
13,12,3.827,2025-08-11T01:34:38.268911
13,13,3.83,2025-08-11T01:35:08.268913
13,14,3.837,2025-08-11T01:35:38.268916
13,15,3.846,2025-08-11T01:36:08.268919
13,16,3.853,2025-08-11T01:36:38.268922
14,1,3.863,2025-08-11T01:29:08.268925
14,2,3.87,2025-08-11T01:29:38.268928
14,3,3.872,2025-08-11T01:30:08.268930
14,4,3.879,2025-08-11T01:30:38.268967
14,5,3.889,2025-08-11T01:31:08.268970
14,6,3.949,2025-08-11T01:31:38.268973
14,7,3.959,2025-08-11T01:32:08.268976
14,8,3.968,2025-08-11T01:32:38.268979
14,9,3.975,2025-08-11T01:33:08.268982
14,10,3.984,2025-08-11T01:33:38.268984
14,11,3.991,2025-08-11T01:34:08.268987
14,12,3.994,2025-08-11T01:34:38.268990
14,13,4.001,2025-08-11T01:35:08.268993
14,14,4.007,2025-08-11T01:35:38.268996
14,15,4.01,2025-08-11T01:36:08.268999
14,16,4.017,2025-08-11T01:36:38.269002
15,1,4.026,2025-08-11T01:29:08.269005
15,2,4.033,2025-08-11T01:29:38.269008
15,3,4.043,2025-08-11T01:30:08.269011
15,4,4.052,2025-08-11T01:30:38.269014
15,5,4.155,2025-08-11T01:31:08.269017
15,6,4.164,2025-08-11T01:31:38.269019
15,7,4.171,2025-08-11T01:32:08.269022
15,8,4.174,2025-08-11T01:32:38.269025
15,9,4.181,2025-08-11T01:33:08.269028
15,10,4.188,2025-08-11T01:33:38.269030
15,11,4.19,2025-08-11T01:34:08.269033
15,12,4.197,2025-08-11T01:34:38.269036
15,13,4.207,2025-08-11T01:35:08.269039
15,14,4.351,2025-08-11T01:35:38.269042
15,15,4.361,2025-08-11T01:36:08.269045
15,16,4.37,2025-08-11T01:36:38.269048
