Elapsed_Hours,Memory_Usage_MB,Memory_Growth_MB,Leak_Detected,Timestamp
2.07,867.5,1.1,False,2025-08-11T01:29:10.269804
2.13,867.6,1.2,False,2025-08-11T01:29:12.270115
2.2,867.6999999999999,1.3,False,2025-08-11T01:29:14.270477
2.27,867.8,1.4,False,2025-08-11T01:29:16.270785
2.33,867.9,1.5,False,2025-08-11T01:29:18.271103
2.4,868.0,1.6,False,2025-08-11T01:29:20.271476
2.47,868.1,1.7000000000000002,False,2025-08-11T01:29:22.271751
2.53,868.1999999999999,1.8,False,2025-08-11T01:29:24.272087
2.6,868.3,1.9,False,2025-08-11T01:29:26.272478
2.67,868.4,2.0,False,2025-08-11T01:29:28.272786
2.73,868.1,1.7000000000000002,False,2025-08-11T01:29:30.273102
2.8,868.2,1.8000000000000003,False,2025-08-11T01:29:32.273419
2.87,868.3,1.9,False,2025-08-11T01:29:34.273755
2.93,868.4,2.0000000000000004,False,2025-08-11T01:29:36.274064
3.0,867.9,1.5,False,2025-08-11T01:29:08.269480
3.07,868.0,1.6,False,2025-08-11T01:29:10.269804
3.13,868.1,1.7,False,2025-08-11T01:29:12.270115
3.2,868.1999999999999,1.8,False,2025-08-11T01:29:14.270477
3.27,868.3,1.9,False,2025-08-11T01:29:16.270785
3.33,868.4,2.0,False,2025-08-11T01:29:18.271103
3.4,868.5,2.1,False,2025-08-11T01:29:20.271476
3.47,868.6,2.2,False,2025-08-11T01:29:22.271751
3.53,868.6999999999999,2.3,False,2025-08-11T01:29:24.272087
3.6,868.8,2.4,False,2025-08-11T01:29:26.272478
3.67,868.9,2.5,False,2025-08-11T01:29:28.272786
3.73,868.6,2.2,False,2025-08-11T01:29:30.273102
3.8,868.7,2.3000000000000003,False,2025-08-11T01:29:32.273419
3.87,868.8,2.4,False,2025-08-11T01:29:34.273755
3.93,868.9,2.5000000000000004,False,2025-08-11T01:29:36.274064
4.0,868.4,2.0,False,2025-08-11T01:29:08.269480
4.07,868.5,2.1,False,2025-08-11T01:29:10.269804
4.13,868.6,2.2,False,2025-08-11T01:29:12.270115
4.2,868.6999999999999,2.3,False,2025-08-11T01:29:14.270477
4.27,868.8,2.4,False,2025-08-11T01:29:16.270785
4.33,868.9,2.5,False,2025-08-11T01:29:18.271103
4.4,869.0,2.6,False,2025-08-11T01:29:20.271476
4.47,869.1,2.7,False,2025-08-11T01:29:22.271751
4.53,869.1999999999999,2.8,False,2025-08-11T01:29:24.272087
4.6,869.3,2.9,False,2025-08-11T01:29:26.272478
4.67,869.4,3.0,False,2025-08-11T01:29:28.272786
4.73,869.1,2.7,False,2025-08-11T01:29:30.273102
4.8,869.2,2.8000000000000003,False,2025-08-11T01:29:32.273419
4.87,869.3,2.9,False,2025-08-11T01:29:34.273755
4.93,869.4,3.0000000000000004,False,2025-08-11T01:29:36.274064
5.0,868.9,2.5,False,2025-08-11T01:29:08.269480
5.07,869.0,2.6,False,2025-08-11T01:29:10.269804
5.13,869.1,2.7,False,2025-08-11T01:29:12.270115
5.2,869.1999999999999,2.8,False,2025-08-11T01:29:14.270477
5.27,869.3,2.9,False,2025-08-11T01:29:16.270785
5.33,869.4,3.0,False,2025-08-11T01:29:18.271103
5.4,869.5,3.1,False,2025-08-11T01:29:20.271476
5.47,869.6,3.2,False,2025-08-11T01:29:22.271751
5.53,869.6999999999999,3.3,False,2025-08-11T01:29:24.272087
5.6,869.8,3.4,False,2025-08-11T01:29:26.272478
5.67,869.9,3.5,False,2025-08-11T01:29:28.272786
5.73,869.6,3.2,False,2025-08-11T01:29:30.273102
5.8,869.7,3.3000000000000003,False,2025-08-11T01:29:32.273419
5.87,869.8,3.4,False,2025-08-11T01:29:34.273755
5.93,869.9,3.5000000000000004,False,2025-08-11T01:29:36.274064
6.0,869.4,3.0,False,2025-08-11T01:29:08.269480
6.07,869.5,3.1,False,2025-08-11T01:29:10.269804
6.13,869.6,3.2,False,2025-08-11T01:29:12.270115
6.2,869.6999999999999,3.3,False,2025-08-11T01:29:14.270477
6.27,869.8,3.4,False,2025-08-11T01:29:16.270785
6.33,869.9,3.5,False,2025-08-11T01:29:18.271103
6.4,870.0,3.6,False,2025-08-11T01:29:20.271476
6.47,870.1,3.7,False,2025-08-11T01:29:22.271751
6.53,870.1999999999999,3.8,False,2025-08-11T01:29:24.272087
6.6,870.3,3.9,False,2025-08-11T01:29:26.272478
6.67,870.4,4.0,False,2025-08-11T01:29:28.272786
6.73,870.1,3.6999999999999997,False,2025-08-11T01:29:30.273102
6.8,870.2,3.8000000000000003,False,2025-08-11T01:29:32.273419
6.87,870.3,3.9,False,2025-08-11T01:29:34.273755
6.93,870.4,4.0,False,2025-08-11T01:29:36.274064
7.0,869.9,3.5,False,2025-08-11T01:29:08.269480
7.07,870.0,3.6,False,2025-08-11T01:29:10.269804
7.13,870.1,3.7,False,2025-08-11T01:29:12.270115
7.2,870.1999999999999,3.8,False,2025-08-11T01:29:14.270477
7.27,870.3,3.9,False,2025-08-11T01:29:16.270785
7.33,870.4,4.0,False,2025-08-11T01:29:18.271103
7.4,870.5,4.1,False,2025-08-11T01:29:20.271476
7.47,870.6,4.2,False,2025-08-11T01:29:22.271751
7.53,870.6999999999999,4.3,False,2025-08-11T01:29:24.272087
7.6,870.8,4.4,False,2025-08-11T01:29:26.272478
7.67,870.9,4.5,False,2025-08-11T01:29:28.272786
7.73,870.6,4.199999999999999,False,2025-08-11T01:29:30.273102
7.8,870.7,4.3,False,2025-08-11T01:29:32.273419
7.87,870.8,4.3999999999999995,False,2025-08-11T01:29:34.273755
7.93,870.9,4.5,False,2025-08-11T01:29:36.274064
